,etoiles,n_avis,date_avis,date_experience,Société,text_total,text_clean_sentences_neg,text_clean_sentences_pos,text_stop,text_clean_sentences_neg_stop,text_clean_sentences_pos_stop
80800,5,2.0,2023-08-02 07:32:51+00:00,2023-08-01,SOFINCO,Simple et rapide. na,,Simple et rapide,Simple rapide .,,Simple rapide
45069,5,2.0,2021-02-23 11:30:21+00:00,2021-02-23,Cofidis,Rapidité efficacité. Conseiller à l'écoute. Réponse rapide.,,Rapidité efficacité. Conseiller à l' écoute. Réponse rapide,Rapidité efficacité . Conseiller écoute . Réponse rapide .,,Rapidité efficacité . Conseiller l ' écoute . Réponse rapide
81625,1,2.0,2016-06-07 04:18:33+00:00,2016-06-07,SOFINCO,refus de 600 euros sans raison j'ai aucun crédit et 2100 euros par mois. na,refus de 600 euros sans raison j' ai aucun crédit et 2100 euros par mois,,refus 600 euros raison aucun crédit 2100 euros mois .,refus 600 euros raison j ' aucun crédit 2100 euros mois,
60859,5,1.0,2017-06-24 17:57:58+00:00,2017-06-24,Immoprt,"""Rapide et efficace. Conseillère à l'écoute, efficace avec une offre concrète en moins d'une semaine.""",,Rapide et efficace. Conseillère à l' écoute efficace avec une offre concrète en moins d' une semaine,"""Rapide efficace . Conseillère écoute , efficace offre concrète semaine .""",,Rapide efficace . Conseillère l ' écoute efficace offre concrète d ' semaine
80796,1,3.0,2023-08-02 10:29:49+00:00,2023-07-25,SOFINCO,Demande déposée le 25 juillet… tjrs…. Demande déposée le 25 juillet… tjrs aucune réponse à l’heure actuelle J’ai tenté d’appeler hier après 3 bips factures on a raccroché..Je rappelle aujourd’hui et je tombe sur un conseiller fort désagréable qui me répond « on vous renvoie un lien pour vérification d’identité d’ici 1 a 2 semaines alors que je l’ai fait à 2 reprises !J’ai déjà fait 3 demandes de crédits chez vous honores et soldés…Là je suis très contrariée…Versement en 7 jours ???Au bout de 9 jours le dossier est tjrs à l’étude !!!,Demande déposée le 25 juillet. Demande déposée le 25 juillet. tjrs aucune réponse à l’ heure actuelle J’ ai tenté d’ appeler hier après 3 bips factures on a raccroché. Je rappelle aujourd’hui et je tombe sur un conseiller fort désagréable qui me répond   on vous renvoie un lien pour vérification d’ identité d’ ici 1 a 2 semaines alors que je l’ ai fait à 2 reprises. Là je suis très contrariée. Versement en 7 jours. Au bout de 9 jours le dossier est tjrs à l’ étude,J’ ai déjà fait 3 demandes de crédits chez vous honores et soldés,Demande déposée 25 juillet … tjrs … . Demande déposée 25 juillet … tjrs aucune réponse heure actuelle J’ tenté appeler hier 3 bips factures raccroché .. Je rappelle aujourd’hui tombe conseiller fort désagréable répond «   renvoie lien vérification identité ici 1 2 semaines 2 reprises ! J’ 3 demandes crédits honores soldés … Là contrariée … Versement 7 jours ? ? ? Au bout 9 jours dossier tjrs étude ! ! !,Demande déposée 25 juillet . Demande déposée 25 juillet . tjrs aucune réponse l ’ heure actuelle J ’ tenté d ’ appeler hier 3 bips factures raccroché . Je rappelle aujourd’hui tombe conseiller fort désagréable répond    renvoie lien vérification d ’ identité d ’ ici 1 2 semaines l ’ 2 reprises . Là contrariée . Versement 7 jours . Au bout 9 jours dossier tjrs l ’ étude,J ’ 3 demandes crédits honores soldés
32554,4,3.0,2022-10-25 07:27:20+00:00,2022-10-03,Cofidis,J'ai pu obtenir rapidement un prêt chez…. J'ai pu obtenir rapidement un prêt chez COFIDIS sans être noyée dans les démarches administratives qui sont assez souvent d'une lenteur agaçante.Les conseillers sont compétents et prennent du temps avec les clients pour leur trouver une solution.,J' ai pu obtenir rapidement un prêt chez COFIDIS sans être noyée dans les démarches administratives qui sont assez souvent d' une lenteur agaçante,J' ai pu obtenir rapidement un prêt chez. Les conseillers sont compétents et prennent du temps avec les clients pour leur trouver une solution,J' obtenir rapidement prêt … . J' obtenir rapidement prêt COFIDIS noyée démarches administratives lenteur agaçante . Les conseillers compétents prennent temps clients trouver solution .,J ' obtenir rapidement prêt COFIDIS noyée démarches administratives d ' lenteur agaçante,J ' obtenir rapidement prêt . Les conseillers compétents prennent temps clients trouver solution
73568,5,1.0,2023-10-16 18:28:48+00:00,2023-10-12,Monabanq,Facilité de gestion du compte par internet. Pour mon utilisation (banque secondaire dans l'immédiat) je suis très satisfait de la réactivité et rapidité des transactions. Facilité pour accomplir toutes les opérations courantes d'un compte bancaire et ce par internet.,,Facilité de gestion du compte par internet. Pour mon utilisation banque secondaire dans l' immédiat je suis très satisfait de la réactivité et rapidité des transactions. Facilité pour accomplir toutes les opérations courantes d' un compte bancaire et ce par internet,Facilité gestion compte internet . Pour utilisation ( banque secondaire immédiat ) satisfait réactivité rapidité transactions . Facilité accomplir opérations courantes compte bancaire internet .,,Facilité gestion compte internet . Pour utilisation banque secondaire l ' immédiat satisfait réactivité rapidité transactions . Facilité accomplir opérations courantes d ' compte bancaire internet
64058,5,1.0,2022-05-08 15:12:52+00:00,2022-05-08,Pixpay,"""Pixpay donne la possibilité de vraiment…. Pixpay donne la possibilité de vraiment laisser faire les ados avec leurs budgets, mais les parents garde la main sur tout (sauf les dépenses) avec le blocage en un clic les ados ne peuvent pas non-plus faire n'importe quoi.Mon seul regret, ne pas pourvoir faire de prélèvements sur Pixpay. Exemple : votre ados ne peut pas s'inscrire à une salle de sport et être prélever dessus.""",Pixpay donne la possibilité de vraiment laisser faire les ados avec leurs budgets mais les parents garde la main sur tout sauf les dépenses avec le blocage en un clic les ados ne peuvent pas non-plus faire n' importe quoi. Mon seul regret ne pas pourvoir faire de prélèvements sur Pixpay. Exemple votre ados ne peut pas s' inscrire à une salle de sport et être prélever dessus,donne la possibilité de vraiment,"""Pixpay donne possibilité vraiment … . Pixpay donne possibilité vraiment faire ados budgets , parents garde main ( dépenses ) blocage clic ados non-plus faire . Mon regret , pourvoir faire prélèvements Pixpay . Exemple : ados inscrire salle sport prélever .""",Pixpay donne possibilité vraiment faire ados budgets parents garde main dépenses blocage clic ados non-plus faire n ' . Mon regret pourvoir faire prélèvements Pixpay . Exemple ados s ' inscrire salle sport prélever,donne possibilité vraiment
101138,5,1.0,2021-07-11 13:09:24+00:00,2021-07-09,OrangeBank,"""Je suis satisfait du service client via messenger. Je suis satisfait du service client via messenger, j'ai eu un problème avec ma carte bancaire orange, je pouvais rien payé en magasin et en ligne car ma carte était bloquée à distance, j'ai dû prouver qu'elle était toujours en ma possession pour la réactiver, j'ai pas attendu très longtemps pour l'activation,il m'a dit d'attendre 1h et elle est opérationnel, le conseiller et été à l'écoute et très sympa, merci.""",,Je suis satisfait du service client via messenger. Je suis satisfait du service client via messenger j' ai eu un problème avec ma carte bancaire orange je pouvais rien payé en magasin et en ligne car ma carte était bloquée à distance j' ai dû prouver qu' elle était toujours en ma possession pour la réactiver j' ai pas attendu très longtemps pour l' activation il m' a dit d' attendre 1h et elle est opérationnel le conseiller et été à l' écoute et très sympa merci,"""Je satisfait service client messenger . Je satisfait service client messenger , problème carte bancaire orange , pouvais rien payé magasin ligne carte bloquée distance , dû prouver possession réactiver , activation , attendre 1h opérationnel , conseiller été écoute sympa , .""",,Je satisfait service client messenger . Je satisfait service client messenger j ' problème carte bancaire orange pouvais rien payé magasin ligne carte bloquée distance j ' dû prouver qu ' possession réactiver j ' l ' activation m ' d ' attendre 1h opérationnel conseiller été l ' écoute sympa
26102,1,1.0,2020-03-17 17:52:23+00:00,2020-03-17,Anytime,"""Bonjour nous sommes une entreprise. Bonjour nous sommes une entreprise,  nous avons envoyé un chèque de  plus de 5000 euros en date du 5 février 2020 reçu le 7 février 2020 par vos soins.l'encaissement de ce chèque  était de 21 jours ouvrés depuis le 7 mars le chèque devrait être sur le compte. Chaque jour vous me dites demain...vous mettez mon entreprise en péril dans ces jours difficiles. Nous sommes le 17 mars sans dépôt du chèque demain sur mon compte, je ferai un déposerai plainte ! Le coronavirus semble avoir bon dos pour votre propre compte !J informerai tous les clients et internautes de votre manquement inadmissible !""",Bonjour nous sommes une entreprise. Bonjour nous sommes une entreprise   nous avons envoyé un chèque de   plus de 5000 euros en date du 5 février 2020 reçu le 7 février 2020 par vos soins.l' encaissement de ce chèque   était de 21 jours ouvrés depuis le 7 mars le chèque devrait être sur le compte. Nous sommes le 17 mars sans dépôt du chèque demain sur mon compte je ferai un déposerai plainte. Le coronavirus semble avoir bon dos pour votre propre compte. J informerai tous les clients et internautes de votre manquement inadmissible,Chaque jour vous me dites demain vous mettez mon entreprise en péril dans ces jours difficiles,"""Bonjour sommes entreprise . Bonjour sommes entreprise ,   envoyé chèque   5000 euros date 5 février 2020 reçu 7 février 2020 soins.l' encaissement chèque   21 jours ouvrés 7 mars chèque devrait compte . Chaque jour dites demain ... mettez entreprise péril jours difficiles . Nous sommes 17 mars dépôt chèque demain compte , ferai déposerai plainte ! Le coronavirus bon dos propre compte ! J informerai clients internautes manquement inadmissible !""",Bonjour sommes entreprise . Bonjour sommes entreprise    envoyé chèque    5000 euros date 5 février 2020 reçu 7 février 2020 soins.l ' encaissement chèque    21 jours ouvrés 7 mars chèque devrait compte . Nous sommes 17 mars dépôt chèque demain compte ferai déposerai plainte . Le coronavirus bon dos propre compte . J informerai clients internautes manquement inadmissible,Chaque jour dites demain mettez entreprise péril jours difficiles
